PAGINA_PDF;INDICE_LIDO_NA_IMAGEM;STATUS_ORDEM;QUALIDADE_NITIDEZ
1;;DÚVIDA (Não lido). Esperado: 1;BORRADA
2;;DÚVIDA (Não lido). Esperado: 2;BOA
3;;DÚVIDA (Não lido). Esperado: 3;BOA
4;;DÚVIDA (Não lido). Esperado: 4;BORRADA
5;;DÚVIDA (Não lido). Esperado: 5;BOA
6;771;ERRO: Leu 771, esperava 6;BOA
7;0;ERRO: Leu 0, esperava 772;BOA
8;;DÚVIDA (Não lido). Esperado: 1;BOA
9;2;OK;BOA
10;;DÚVIDA (Não lido). Esperado: 3;BOA
11;;DÚVIDA (Não lido). Esperado: 4;BOA
12;4;ERRO: Leu 4, esperava 5;BOA
13;;DÚVIDA (Não lido). Esperado: 5;BOA
14;4;ERRO: Leu 4, esperava 6;BOA
15;;DÚVIDA (Não lido). Esperado: 5;BOA
16;;DÚVIDA (Não lido). Esperado: 6;BOA
17;1;ERRO: Leu 1, esperava 7;BOA
18;;DÚVIDA (Não lido). Esperado: 2;BOA
19;200;ERRO: Leu 200, esperava 3;BOA
20;;DÚVIDA (Não lido). Esperado: 201;BOA
21;;DÚVIDA (Não lido). Esperado: 202;BOA
22;4;ERRO: Leu 4, esperava 203;BOA
23;4;ERRO: Leu 4, esperava 5;BOA
24;46;ERRO: Leu 46, esperava 5;BOA
25;4;ERRO: Leu 4, esperava 47;BOA
26;;DÚVIDA (Não lido). Esperado: 5;BOA
27;0;ERRO: Leu 0, esperava 6;BOA
28;0;ERRO: Leu 0, esperava 1;BOA
29;2;ERRO: Leu 2, esperava 1;BOA
30;;DÚVIDA (Não lido). Esperado: 3;BOA
31;;DÚVIDA (Não lido). Esperado: 4;BOA
32;;DÚVIDA (Não lido). Esperado: 5;BOA
33;1;ERRO: Leu 1, esperava 6;BOA
34;0;ERRO: Leu 0, esperava 2;BOA
35;40;ERRO: Leu 40, esperava 1;BOA
36;17;ERRO: Leu 17, esperava 41;BOA
37;;DÚVIDA (Não lido). Esperado: 18;BOA
38;;DÚVIDA (Não lido). Esperado: 19;BOA
39;;DÚVIDA (Não lido). Esperado: 20;BOA
40;5;ERRO: Leu 5, esperava 21;BOA
41;2;ERRO: Leu 2, esperava 6;BOA
42;;DÚVIDA (Não lido). Esperado: 3;BOA
43;;DÚVIDA (Não lido). Esperado: 4;BOA
44;;DÚVIDA (Não lido). Esperado: 5;BOA
45;6;OK;BOA
46;4;ERRO: Leu 4, esperava 7;BOA
47;1;ERRO: Leu 1, esperava 5;BOA
48;108;ERRO: Leu 108, esperava 2;BOA
49;151;ERRO: Leu 151, esperava 109;BOA
50;0;ERRO: Leu 0, esperava 152;BOA
51;;DÚVIDA (Não lido). Esperado: 1;BOA
52;1;ERRO: Leu 1, esperava 2;BOA
53;0;ERRO: Leu 0, esperava 2;BOA
54;4;ERRO: Leu 4, esperava 1;BOA
55;42;ERRO: Leu 42, esperava 5;BOA
56;;DÚVIDA (Não lido). Esperado: 43;BOA
57;;DÚVIDA (Não lido). Esperado: 44;BOA
58;2;ERRO: Leu 2, esperava 45;BOA
59;;DÚVIDA (Não lido). Esperado: 3;BOA
60;;DÚVIDA (Não lido). Esperado: 4;BOA
61;;DÚVIDA (Não lido). Esperado: 5;BOA
62;0;ERRO: Leu 0, esperava 6;BOA
63;0;ERRO: Leu 0, esperava 1;BOA
64;;DÚVIDA (Não lido). Esperado: 1;BOA
65;0;ERRO: Leu 0, esperava 2;BOA
66;9;ERRO: Leu 9, esperava 1;BOA
67;;DÚVIDA (Não lido). Esperado: 10;BOA
68;41;ERRO: Leu 41, esperava 11;BOA
69;2;ERRO: Leu 2, esperava 42;BOA
70;20;ERRO: Leu 20, esperava 3;BOA
71;244;ERRO: Leu 244, esperava 21;BOA
72;;DÚVIDA (Não lido). Esperado: 245;BOA
73;;DÚVIDA (Não lido). Esperado: 246;BOA
74;47;ERRO: Leu 47, esperava 247;BOA
75;6;ERRO: Leu 6, esperava 48;BOA
76;22;ERRO: Leu 22, esperava 7;BOA
77;1445;ERRO: Leu 1445, esperava 23;BOA
78;2;ERRO: Leu 2, esperava 1446;BOA
79;;DÚVIDA (Não lido). Esperado: 3;BOA
80;4;OK;BOA
81;220;ERRO: Leu 220, esperava 5;BOA
82;0;ERRO: Leu 0, esperava 221;BOA
83;2;ERRO: Leu 2, esperava 1;BOA
84;;DÚVIDA (Não lido). Esperado: 3;BOA
85;4;OK;BOA
86;0;ERRO: Leu 0, esperava 5;BOA
87;3;ERRO: Leu 3, esperava 1;BOA
88;;DÚVIDA (Não lido). Esperado: 4;BOA
89;;DÚVIDA (Não lido). Esperado: 5;BOA
90;;DÚVIDA (Não lido). Esperado: 6;BOA
91;;DÚVIDA (Não lido). Esperado: 7;BOA
92;1;ERRO: Leu 1, esperava 8;BOA
93;1;ERRO: Leu 1, esperava 2;BOA
94;;DÚVIDA (Não lido). Esperado: 2;BOA
95;;DÚVIDA (Não lido). Esperado: 3;BOA
96;6;ERRO: Leu 6, esperava 4;BOA
97;;DÚVIDA (Não lido). Esperado: 7;BOA
98;10;ERRO: Leu 10, esperava 8;BOA
99;90;ERRO: Leu 90, esperava 11;BOA
100;7;ERRO: Leu 7, esperava 91;BOA
101;0;ERRO: Leu 0, esperava 8;BOA
102;;DÚVIDA (Não lido). Esperado: 1;BOA
103;;DÚVIDA (Não lido). Esperado: 2;BOA
104;4;ERRO: Leu 4, esperava 3;BOA
105;0;ERRO: Leu 0, esperava 5;BOA
106;1;OK;BOA
107;;DÚVIDA (Não lido). Esperado: 2;BOA
108;;DÚVIDA (Não lido). Esperado: 3;BOA
109;;DÚVIDA (Não lido). Esperado: 4;BOA
110;;DÚVIDA (Não lido). Esperado: 5;BOA
111;;DÚVIDA (Não lido). Esperado: 6;BOA
112;40;ERRO: Leu 40, esperava 7;BOA
113;;DÚVIDA (Não lido). Esperado: 41;BOA
114;14;ERRO: Leu 14, esperava 42;BOA
115;;DÚVIDA (Não lido). Esperado: 15;BOA
116;2;ERRO: Leu 2, esperava 16;BOA
117;0;ERRO: Leu 0, esperava 3;BOA
118;;DÚVIDA (Não lido). Esperado: 1;BOA
119;;DÚVIDA (Não lido). Esperado: 2;BOA
120;0;ERRO: Leu 0, esperava 3;BOA
121;;DÚVIDA (Não lido). Esperado: 1;BOA
122;;DÚVIDA (Não lido). Esperado: 2;BOA
123;440;ERRO: Leu 440, esperava 3;BOA
124;;DÚVIDA (Não lido). Esperado: 441;BOA
125;0;ERRO: Leu 0, esperava 442;BOA
126;4;ERRO: Leu 4, esperava 1;BOA
127;;DÚVIDA (Não lido). Esperado: 5;BOA
128;11;ERRO: Leu 11, esperava 6;BOA
129;;DÚVIDA (Não lido). Esperado: 12;BOA
130;;DÚVIDA (Não lido). Esperado: 13;BOA
131;;DÚVIDA (Não lido). Esperado: 14;BOA
132;4;ERRO: Leu 4, esperava 15;BOA
133;;DÚVIDA (Não lido). Esperado: 5;BOA
134;8;ERRO: Leu 8, esperava 6;BOA
135;1;ERRO: Leu 1, esperava 9;BOA
136;0;ERRO: Leu 0, esperava 2;BOA
137;;DÚVIDA (Não lido). Esperado: 1;BOA
138;4;ERRO: Leu 4, esperava 2;BOA
139;10;ERRO: Leu 10, esperava 5;BOA
140;;DÚVIDA (Não lido). Esperado: 11;BOA
141;19;ERRO: Leu 19, esperava 12;BOA
142;23134;ERRO: Leu 23134, esperava 20;BOA
143;;DÚVIDA (Não lido). Esperado: 23135;BOA
144;0;ERRO: Leu 0, esperava 23136;BOA
145;;DÚVIDA (Não lido). Esperado: 1;BOA
146;;DÚVIDA (Não lido). Esperado: 2;BOA
147;0;ERRO: Leu 0, esperava 3;BOA
148;;DÚVIDA (Não lido). Esperado: 1;BOA
149;1;ERRO: Leu 1, esperava 2;BOA
150;;DÚVIDA (Não lido). Esperado: 2;BOA
151;2;ERRO: Leu 2, esperava 3;BOA
152;40;ERRO: Leu 40, esperava 3;BOA
153;68;ERRO: Leu 68, esperava 41;BOA
154;;DÚVIDA (Não lido). Esperado: 69;BOA
155;24;ERRO: Leu 24, esperava 70;BOA
156;;DÚVIDA (Não lido). Esperado: 25;BOA
157;6;ERRO: Leu 6, esperava 26;BOA
158;1;ERRO: Leu 1, esperava 7;BOA
159;;DÚVIDA (Não lido). Esperado: 2;BOA
160;;DÚVIDA (Não lido). Esperado: 3;BOA
161;;DÚVIDA (Não lido). Esperado: 4;BOA
162;;DÚVIDA (Não lido). Esperado: 5;BOA
163;1;ERRO: Leu 1, esperava 6;BOA
164;16;ERRO: Leu 16, esperava 2;BOA
165;0;ERRO: Leu 0, esperava 17;BOA
166;;DÚVIDA (Não lido). Esperado: 1;BOA
167;;DÚVIDA (Não lido). Esperado: 2;BOA
168;;DÚVIDA (Não lido). Esperado: 3;BOA
169;;DÚVIDA (Não lido). Esperado: 4;BOA
170;;DÚVIDA (Não lido). Esperado: 5;BOA
171;0;ERRO: Leu 0, esperava 6;BOA
172;;DÚVIDA (Não lido). Esperado: 1;BOA
173;;DÚVIDA (Não lido). Esperado: 2;BOA
174;10;ERRO: Leu 10, esperava 3;BOA
175;;DÚVIDA (Não lido). Esperado: 11;BOA
176;;DÚVIDA (Não lido). Esperado: 12;BOA
177;;DÚVIDA (Não lido). Esperado: 13;BOA
178;2;ERRO: Leu 2, esperava 14;BOA
179;;DÚVIDA (Não lido). Esperado: 3;BOA
180;1;ERRO: Leu 1, esperava 4;BOA
181;;DÚVIDA (Não lido). Esperado: 2;BOA
182;4;ERRO: Leu 4, esperava 3;BOA
183;;DÚVIDA (Não lido). Esperado: 5;BOA
184;;DÚVIDA (Não lido). Esperado: 6;BOA
185;100;ERRO: Leu 100, esperava 7;BOA
186;;DÚVIDA (Não lido). Esperado: 101;BOA
187;4;ERRO: Leu 4, esperava 102;BOA
188;2;ERRO: Leu 2, esperava 5;BOA
189;4;ERRO: Leu 4, esperava 3;BOA
190;4;ERRO: Leu 4, esperava 5;BOA
191;;DÚVIDA (Não lido). Esperado: 5;BOA
192;7;ERRO: Leu 7, esperava 6;BOA
193;;DÚVIDA (Não lido). Esperado: 8;BOA
194;0;ERRO: Leu 0, esperava 9;BOA
195;;DÚVIDA (Não lido). Esperado: 1;BOA
196;4;ERRO: Leu 4, esperava 2;BOA
197;1;ERRO: Leu 1, esperava 5;BOA
198;4;ERRO: Leu 4, esperava 2;BOA
199;0;ERRO: Leu 0, esperava 5;BOA
200;;DÚVIDA (Não lido). Esperado: 1;BOA
201;;DÚVIDA (Não lido). Esperado: 2;BOA
202;;DÚVIDA (Não lido). Esperado: 3;BOA
203;2;ERRO: Leu 2, esperava 4;BOA
204;;DÚVIDA (Não lido). Esperado: 3;BOA
205;4;OK;BOA
206;4;ERRO: Leu 4, esperava 5;BOA
207;;DÚVIDA (Não lido). Esperado: 5;BOA
208;;DÚVIDA (Não lido). Esperado: 6;BOA
209;;DÚVIDA (Não lido). Esperado: 7;BOA
210;;DÚVIDA (Não lido). Esperado: 8;BOA
211;2;ERRO: Leu 2, esperava 9;BOA
212;142;ERRO: Leu 142, esperava 3;BOA
213;0;ERRO: Leu 0, esperava 143;BOA
214;;DÚVIDA (Não lido). Esperado: 1;BOA
215;;DÚVIDA (Não lido). Esperado: 2;BOA
216;12;ERRO: Leu 12, esperava 3;BOA
217;;DÚVIDA (Não lido). Esperado: 13;BOA
218;0;ERRO: Leu 0, esperava 14;BOA
219;;DÚVIDA (Não lido). Esperado: 1;BOA
220;0;ERRO: Leu 0, esperava 2;BOA
221;1;OK;BOA
222;;DÚVIDA (Não lido). Esperado: 2;BOA
223;0;ERRO: Leu 0, esperava 3;BOA
224;4;ERRO: Leu 4, esperava 1;BOA
225;;DÚVIDA (Não lido). Esperado: 5;BOA
226;0;ERRO: Leu 0, esperava 6;BOA
227;0;ERRO: Leu 0, esperava 1;BOA
228;;DÚVIDA (Não lido). Esperado: 1;BOA
229;7;ERRO: Leu 7, esperava 2;BOA
230;;DÚVIDA (Não lido). Esperado: 8;BOA
231;;DÚVIDA (Não lido). Esperado: 9;BOA
232;0;ERRO: Leu 0, esperava 10;BOA
233;;DÚVIDA (Não lido). Esperado: 1;BOA
234;;DÚVIDA (Não lido). Esperado: 2;BOA
235;14;ERRO: Leu 14, esperava 3;BOA
236;0;ERRO: Leu 0, esperava 15;BOA
237;;DÚVIDA (Não lido). Esperado: 1;BOA
238;4;ERRO: Leu 4, esperava 2;BOA
239;;DÚVIDA (Não lido). Esperado: 5;BOA
240;0;ERRO: Leu 0, esperava 6;BOA
241;;DÚVIDA (Não lido). Esperado: 1;BOA
242;1;ERRO: Leu 1, esperava 2;BOA
243;;DÚVIDA (Não lido). Esperado: 2;BOA
244;2;ERRO: Leu 2, esperava 3;BOA
245;;DÚVIDA (Não lido). Esperado: 3;BOA
246;;DÚVIDA (Não lido). Esperado: 4;BOA
247;;DÚVIDA (Não lido). Esperado: 5;BOA
248;4;ERRO: Leu 4, esperava 6;BOA
249;;DÚVIDA (Não lido). Esperado: 5;BOA
250;;DÚVIDA (Não lido). Esperado: 6;BOA
251;;DÚVIDA (Não lido). Esperado: 7;BOA
252;14;ERRO: Leu 14, esperava 8;BOA
253;;DÚVIDA (Não lido). Esperado: 15;BOA
254;;DÚVIDA (Não lido). Esperado: 16;BOA
255;;DÚVIDA (Não lido). Esperado: 17;BOA
256;0;ERRO: Leu 0, esperava 18;BOA
257;2;ERRO: Leu 2, esperava 1;BOA
258;100;ERRO: Leu 100, esperava 3;BOA
259;0;ERRO: Leu 0, esperava 101;BOA
260;;DÚVIDA (Não lido). Esperado: 1;BOA
261;0;ERRO: Leu 0, esperava 2;BOA
262;;DÚVIDA (Não lido). Esperado: 1;BOA
263;;DÚVIDA (Não lido). Esperado: 2;BOA
264;;DÚVIDA (Não lido). Esperado: 3;BOA
265;0;ERRO: Leu 0, esperava 4;BOA
266;2;ERRO: Leu 2, esperava 1;BOA
267;2;ERRO: Leu 2, esperava 3;BOA
268;;DÚVIDA (Não lido). Esperado: 3;BOA
269;2;ERRO: Leu 2, esperava 4;BOA
270;;DÚVIDA (Não lido). Esperado: 3;BOA
271;;DÚVIDA (Não lido). Esperado: 4;BOA
272;4;ERRO: Leu 4, esperava 5;BOA
273;;DÚVIDA (Não lido). Esperado: 5;BOA
274;0;ERRO: Leu 0, esperava 6;BOA
275;2;ERRO: Leu 2, esperava 1;BOA
276;;DÚVIDA (Não lido). Esperado: 3;BOA
277;0;ERRO: Leu 0, esperava 4;BOA
278;;DÚVIDA (Não lido). Esperado: 1;BOA
279;;DÚVIDA (Não lido). Esperado: 2;BOA
280;;DÚVIDA (Não lido). Esperado: 3;BOA
281;;DÚVIDA (Não lido). Esperado: 4;BOA
282;;DÚVIDA (Não lido). Esperado: 5;BOA
283;0;ERRO: Leu 0, esperava 6;BOA
284;;DÚVIDA (Não lido). Esperado: 1;BOA
285;7;ERRO: Leu 7, esperava 2;BOA
286;0;ERRO: Leu 0, esperava 8;BOA
287;9;ERRO: Leu 9, esperava 1;BOA
288;44;ERRO: Leu 44, esperava 10;BOA
289;;DÚVIDA (Não lido). Esperado: 45;BOA
290;;DÚVIDA (Não lido). Esperado: 46;BOA
291;316;ERRO: Leu 316, esperava 47;BOA
292;4;ERRO: Leu 4, esperava 317;BOA
293;;DÚVIDA (Não lido). Esperado: 5;BOA
294;;DÚVIDA (Não lido). Esperado: 6;BOA
295;;DÚVIDA (Não lido). Esperado: 7;BOA
296;;DÚVIDA (Não lido). Esperado: 8;BOA
297;;DÚVIDA (Não lido). Esperado: 9;BOA
298;0;ERRO: Leu 0, esperava 10;BOA
299;;DÚVIDA (Não lido). Esperado: 1;BOA
300;;DÚVIDA (Não lido). Esperado: 2;BOA
301;;DÚVIDA (Não lido). Esperado: 3;BOA
302;;DÚVIDA (Não lido). Esperado: 4;BOA
303;10;ERRO: Leu 10, esperava 5;BOA
304;6;ERRO: Leu 6, esperava 11;BOA
305;206;ERRO: Leu 206, esperava 7;BOA
306;;DÚVIDA (Não lido). Esperado: 207;BOA
307;104;ERRO: Leu 104, esperava 208;BOA
308;5;ERRO: Leu 5, esperava 105;BOA
309;4;ERRO: Leu 4, esperava 6;BOA
310;4;ERRO: Leu 4, esperava 5;BOA
311;;DÚVIDA (Não lido). Esperado: 5;BOA
312;;DÚVIDA (Não lido). Esperado: 6;BOA
313;;DÚVIDA (Não lido). Esperado: 7;BOA
314;;DÚVIDA (Não lido). Esperado: 8;BOA
315;4;ERRO: Leu 4, esperava 9;BOA
316;;DÚVIDA (Não lido). Esperado: 5;BOA
317;;DÚVIDA (Não lido). Esperado: 6;BOA
318;0;ERRO: Leu 0, esperava 7;BOA
319;;DÚVIDA (Não lido). Esperado: 1;BOA
320;;DÚVIDA (Não lido). Esperado: 2;BOA
321;0;ERRO: Leu 0, esperava 3;BOA
322;1;OK;BOA
323;;DÚVIDA (Não lido). Esperado: 2;BOA
324;;DÚVIDA (Não lido). Esperado: 3;BOA
325;;DÚVIDA (Não lido). Esperado: 4;BOA
326;9;ERRO: Leu 9, esperava 5;BOA
327;;DÚVIDA (Não lido). Esperado: 10;BOA
328;;DÚVIDA (Não lido). Esperado: 11;BOA
329;;DÚVIDA (Não lido). Esperado: 12;BOA
330;;DÚVIDA (Não lido). Esperado: 13;BOA
331;14;OK;BOA
332;;DÚVIDA (Não lido). Esperado: 15;BOA
333;;DÚVIDA (Não lido). Esperado: 16;BOA
334;;DÚVIDA (Não lido). Esperado: 17;BOA
